game_ID,year,host_country,stage,team,pre_penalties_score,won,winner_took_first_penalty,penalty_round,kick_in_round,penalty_scored,penalty_kicker
1,1982,Spain,Semi-finals,France,3,False,False,3,1,True,Dominique Rocheteau
2,1986,Mexico,Quarter-finals,Brazil,1,False,False,3,1,True,Zico
3,1986,Mexico,Quarter-finals,Mexico,0,False,True,3,2,False,Raúl Servín
4,1986,Mexico,Quarter-finals,Spain,1,False,False,3,1,True,Chendo
5,1990,Italy,Second round,Romania,0,False,False,3,1,True,Iosif Rotariu
6,1990,Italy,Quarter-finals,Yugoslavia,0,False,True,3,2,True,Dejan Savićević
7,1990,Italy,Quarter-finals,Italy,1,False,False,3,1,True,Luigi De Agostini
8,1990,Italy,Quarter-finals,England,1,False,False,3,1,True,David Platt
9,1994,USA,Second round,Mexico,1,False,False,3,1,False,Jorge Rodríguez
10,1994,USA,Quarter-finals,Romania,2,False,True,3,2,True,Ioan Lupescu
11,1994,USA,Final,Italy,0,False,False,3,1,True,Alberigo Evani
12,1998,France,Second round,England,2,False,True,3,2,True,Paul Merson
13,1998,France,Quarter-finals,Italy,0,False,True,3,2,True,Alessandro Costacurta
14,1998,France,Semi-finals,Netherlands,1,False,True,3,2,False,Phillip Cocu
15,2002,Korea/Japan,Second round,Republic of Ireland,1,False,False,3,1,False,David Connolly
16,2002,Korea/Japan,Quarter-finals,Spain,0,False,True,3,2,True,Xavi
17,2006,Germany,Second round,Switzerland,0,False,True,3,2,False,Ricardo Cabanas
18,2006,Germany,Quarter-finals,Argentina,1,False,True,3,2,True,Maxi Rodríguez
19,2006,Germany,Quarter-finals,England,0,False,True,3,2,False,Steven Gerrard
20,2006,Germany,Final,France,1,False,True,3,2,True,Éric Abidal
21,2010,South Africa,Second round,Japan,0,False,True,3,2,False,Yūichi Komano
22,2010,South Africa,Quarter-finals,Ghana,1,False,True,3,2,False,John Mensah
23,2014,Brazil,Second round,Chile,1,False,True,3,2,True,Charles Aránguiz
24,2014,Brazil,Second round,Greece,1,False,True,3,2,True,José Holebas
25,2014,Brazil,Quarter-finals,Costa Rica,0,False,False,3,1,True,Giancarlo González
26,2014,Brazil,Semi-finals,Netherlands,0,False,False,3,1,False,Wesley Sneijder
27,2018,Russia,Second round,Spain,1,False,False,3,1,False,Koke
28,2018,Russia,Second round,Denmark,1,False,False,3,1,True,Michael Krohn-Dehli
29,2018,Russia,Second round,Colombia,1,False,False,3,1,True,Luis Muriel
30,2018,Russia,Quarter-finals,Russia,2,False,False,3,1,False,Mário Fernandes
1,1982,Spain,Semi-finals,West Germany,3,True,False,4,2,True,Pierre Littbarski
2,1986,Mexico,Quarter-finals,France,1,True,False,4,2,False,Michel Platini
3,1986,Mexico,Quarter-finals,West Germany,0,True,True,4,1,True,Pierre Littbarski
4,1986,Mexico,Quarter-finals,Belgium,1,True,False,4,2,True,Patrick Vervoort
5,1990,Italy,Second round,Republic of Ireland,0,True,False,4,2,True,Tony Cascarino
6,1990,Italy,Quarter-finals,Argentina,0,True,True,4,1,False,Pedro Troglio
7,1990,Italy,Quarter-finals,Argentina,1,True,False,4,2,True,Diego Maradona
8,1990,Italy,Quarter-finals,West Germany,1,True,False,4,2,True,Olaf Thon
9,1994,USA,Second round,Bulgaria,1,True,False,4,2,True,Yordan Letchkov
10,1994,USA,Quarter-finals,Sweden,2,True,True,4,1,True,Klas Ingesson
11,1994,USA,Final,Brazil,0,True,False,4,2,True,Dunga
12,1998,France,Second round,Argentina,2,True,True,4,1,True,Marcelo Gallardo
13,1998,France,Quarter-finals,France,0,True,True,4,1,True,Thierry Henry
14,1998,France,Semi-finals,Brazil,1,True,True,4,1,True,Dunga
15,2002,Korea/Japan,Second round,Spain,1,True,False,4,2,False,Juan Carlos Valerón
16,2002,Korea/Japan,Quarter-finals,South Korea,0,True,True,4,1,True,Ahn Jung-hwan
17,2006,Germany,Second round,Ukraine,0,True,True,4,1,True,Oleh Husyev
18,2006,Germany,Quarter-finals,Germany,1,True,True,4,1,True,Tim Borowski
19,2006,Germany,Quarter-finals,Portugal,0,True,True,4,1,True,Hélder Postiga
20,2006,Germany,Final,Italy,1,True,True,4,1,True,Alessandro Del Piero
21,2010,South Africa,Second round,Paraguay,0,True,True,4,1,True,Nelson Valdez
22,2010,South Africa,Quarter-finals,Uruguay,1,True,True,4,1,False,Maxi Pereira
23,2014,Brazil,Second round,Brazil,1,True,True,4,1,False,Hulk
24,2014,Brazil,Second round,Costa Rica,1,True,True,4,1,True,Joel Campbell
25,2014,Brazil,Quarter-finals,Netherlands,0,True,False,4,2,True,Dirk Kuyt
26,2014,Brazil,Semi-finals,Argentina,0,True,False,4,2,True,Maxi Rodríguez
27,2018,Russia,Second round,Russia,1,True,False,4,2,True,Denis Cheryshev
28,2018,Russia,Second round,Croatia,1,True,False,4,2,False,Josip Pivarić
29,2018,Russia,Second round,England,1,True,False,4,2,True,Kieran Trippier
30,2018,Russia,Quarter-finals,Croatia,2,True,False,4,2,True,Domagoj Vida
1,1982,Spain,Semi-finals,France,3,False,False,4,1,False,Didier Six
2,1986,Mexico,Quarter-finals,Brazil,1,False,False,4,1,True,Branco
4,1986,Mexico,Quarter-finals,Spain,1,False,False,4,1,True,Emilio Butragueño
5,1990,Italy,Second round,Romania,0,False,False,4,1,True,Ioan Lupescu
6,1990,Italy,Quarter-finals,Yugoslavia,0,False,True,4,2,False,Dragoljub Brnović
7,1990,Italy,Quarter-finals,Italy,1,False,False,4,1,False,Roberto Donadoni
8,1990,Italy,Quarter-finals,England,1,False,False,4,1,False,Stuart Pearce
9,1994,USA,Second round,Mexico,1,False,False,4,1,True,Claudio Suárez
10,1994,USA,Quarter-finals,Romania,2,False,True,4,2,False,Dan Petrescu
11,1994,USA,Final,Italy,0,False,False,4,1,False,Daniele Massaro
12,1998,France,Second round,England,2,False,True,4,2,True,Michael Owen
13,1998,France,Quarter-finals,Italy,0,False,True,4,2,True,Christian Vieri
14,1998,France,Semi-finals,Netherlands,1,False,True,4,2,False,Ronald de Boer
15,2002,Korea/Japan,Second round,Republic of Ireland,1,False,False,4,1,False,Kevin Kilbane
16,2002,Korea/Japan,Quarter-finals,Spain,0,False,True,4,2,False,Joaquín
18,2006,Germany,Quarter-finals,Argentina,1,False,True,4,2,False,Esteban Cambiasso
19,2006,Germany,Quarter-finals,England,0,False,True,4,2,False,Jamie Carragher
20,2006,Germany,Final,France,1,False,True,4,2,True,Willy Sagnol
21,2010,South Africa,Second round,Japan,0,False,True,4,2,True,Keisuke Honda
22,2010,South Africa,Quarter-finals,Ghana,1,False,True,4,2,False,Dominic Adiyiah
23,2014,Brazil,Second round,Chile,1,False,True,4,2,True,Marcelo Díaz
24,2014,Brazil,Second round,Greece,1,False,True,4,2,False,Theofanis Gekas
25,2014,Brazil,Quarter-finals,Costa Rica,0,False,False,4,1,True,Christian Bolaños
26,2014,Brazil,Semi-finals,Netherlands,0,False,False,4,1,True,Dirk Kuyt
27,2018,Russia,Second round,Spain,1,False,False,4,1,True,Sergio Ramos
28,2018,Russia,Second round,Denmark,1,False,False,4,1,False,Lasse Schöne
29,2018,Russia,Second round,Colombia,1,False,False,4,1,False,Mateus Uribe
30,2018,Russia,Quarter-finals,Russia,2,False,False,4,1,True,Sergei Ignashevich
1,1982,Spain,Semi-finals,West Germany,3,True,False,5,2,True,Karl-Heinz Rummenigge
2,1986,Mexico,Quarter-finals,France,1,True,False,5,2,True,Luis Fernández
4,1986,Mexico,Quarter-finals,Belgium,1,True,False,5,2,True,Leo Van der Elst
5,1990,Italy,Second round,Republic of Ireland,0,True,False,5,2,True,David O'Leary
6,1990,Italy,Quarter-finals,Argentina,0,True,True,5,1,True,Gustavo Dezotti
10,1994,USA,Quarter-finals,Sweden,2,True,True,5,1,True,Roland Nilsson
12,1998,France,Second round,Argentina,2,True,True,5,1,True,Roberto Ayala
13,1998,France,Quarter-finals,France,0,True,True,5,1,True,Laurent Blanc
15,2002,Korea/Japan,Second round,Spain,1,True,False,5,2,True,Gaizka Mendieta
16,2002,Korea/Japan,Quarter-finals,South Korea,0,True,True,5,1,True,Hong Myung-bo
